,year,workstat,prestige,divorce,widowed,educ,reg16,babies,preteen,teens,income,region,attend,owngun,tvhours,vhappy,mothfath16,black,female,blackfemale,occattend,regattend,unem10,happy
13,1994,working fulltime,50.0,no,iap,16.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,every week,iap,2.9040189927081568,1,1.0,0,0,0,0.0,0.0,0.0,2
14,1994,working fulltime,73.0,no,iap,18.0,south atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,once a month,iap,1.0,0,1.0,0,0,0,1.0,0.0,1.0,1
15,1994,working fulltime,41.0,no,iap,16.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,once a year,iap,1.0,0,1.0,0,1,0,0.0,0.0,1.0,1
16,1994,working fulltime,64.0,no,iap,18.0,middle atlantic,0.0,1.0,1.0,$25000 or more,middle atlantic,sevrl times a yr,iap,0.0,0,1.0,0,1,0,1.0,0.0,0.0,1
17,1994,keeping house,59.0,no,iap,16.0,e. nor. central,2.0,0.0,0.0,$25000 or more,middle atlantic,once a year,iap,3.0,1,0.0,0,1,0,0.0,0.0,0.0,2
18,1994,retired,35.0,no,iap,12.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,sevrl times a yr,yes,3.0,0,1.0,0,0,0,1.0,0.0,0.0,0
19,1994,working parttime,46.0,no,iap,16.0,new england,0.0,0.0,0.0,$25000 or more,middle atlantic,never,iap,2.0,0,1.0,0,0,0,0.0,0.0,1.0,1
20,1994,working parttime,47.0,no,iap,16.0,middle atlantic,0.0,0.0,0.0,$10000 - 14999,middle atlantic,more thn once wk,iap,3.0,0,0.0,0,0,0,0.0,1.0,1.0,1
21,1994,working parttime,74.0,no,iap,20.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,never,iap,2.9040189927081568,0,1.0,0,0,0,0.0,0.0,0.0,0
22,1994,working fulltime,44.0,no,iap,12.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,never,iap,4.0,0,1.0,0,0,0,0.0,0.0,1.0,1
23,1994,retired,52.0,no,iap,16.0,new england,0.0,0.0,0.0,$25000 or more,middle atlantic,never,iap,2.9040189927081568,0,1.0,0,0,0,0.0,0.0,1.0,1
24,1994,working fulltime,74.0,no,iap,16.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,never,iap,1.0,0,1.0,0,0,0,0.0,0.0,0.0,1
25,1994,working fulltime,44.0,yes,iap,8.0,foreign,0.0,0.0,0.0,$25000 or more,middle atlantic,never,iap,4.0,0,0.0,0,0,0,0.0,0.0,1.0,1
26,1994,other,43.87754099367439,no,iap,12.0,foreign,0.0,0.0,0.0,$5000 to 5999,middle atlantic,every week,iap,4.0,0,0.0,0,1,0,0.0,0.0,0.0,1
27,1994,keeping house,43.87754099367439,no,iap,8.0,foreign,0.0,0.0,0.0,$3000 to 3999,middle atlantic,once a year,iap,8.0,0,1.0,1,1,1,0.0,0.0,1.0,0
28,1994,keeping house,43.87754099367439,no,iap,12.0,foreign,0.0,0.0,1.0,$25000 or more,middle atlantic,every week,iap,2.0,0,1.0,0,1,0,0.0,0.0,0.0,1
29,1994,working fulltime,64.0,no,iap,17.0,w. sou. central,0.0,0.0,1.0,$25000 or more,middle atlantic,2-3x a month,iap,2.0,0,0.0,1,1,1,1.0,0.0,1.0,1
30,1994,keeping house,41.0,yes,iap,13.0,middle atlantic,0.0,0.0,0.0,$8000 to 9999,middle atlantic,lt once a year,iap,2.0,0,0.0,1,1,1,0.0,0.0,0.0,1
31,1994,working fulltime,42.0,no,iap,12.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,lt once a year,iap,2.0,0,0.0,0,0,0,0.0,0.0,1.0,1
32,1994,keeping house,24.0,no,iap,12.0,foreign,1.0,2.0,0.0,$6000 to 6999,middle atlantic,2-3x a month,iap,4.0,0,1.0,1,1,1,1.0,0.0,0.0,1
33,1994,keeping house,28.0,no,iap,16.0,foreign,0.0,0.0,0.0,$1000 to 2999,middle atlantic,every week,iap,7.0,0,1.0,1,1,1,0.0,0.0,1.0,0
34,1994,keeping house,60.0,no,iap,16.0,middle atlantic,2.0,0.0,0.0,$25000 or more,middle atlantic,lt once a year,iap,2.0,0,0.0,0,1,0,0.0,0.0,0.0,0
35,1994,working fulltime,44.0,no,iap,16.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,sevrl times a yr,iap,2.9040189927081568,0,1.0,0,1,0,1.0,0.0,0.0,0
36,1994,working fulltime,65.0,no,iap,16.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,lt once a year,iap,1.0,0,1.0,0,0,0,0.0,0.0,1.0,1
37,1994,other,32.0,no,iap,13.0,middle atlantic,0.0,0.0,0.0,$5000 to 5999,middle atlantic,never,iap,2.9040189927081568,0,1.0,0,0,0,0.0,0.0,0.0,0
38,1994,working parttime,58.0,yes,iap,19.0,e. nor. central,0.0,0.0,0.0,$25000 or more,middle atlantic,never,iap,2.9040189927081568,0,1.0,0,1,0,0.0,0.0,1.0,1
39,1994,working fulltime,51.0,no,iap,18.0,w. sou. central,0.0,0.0,0.0,$25000 or more,middle atlantic,sevrl times a yr,iap,1.0,0,0.0,0,0,0,1.0,0.0,0.0,1
40,1994,keeping house,59.0,no,iap,16.0,middle atlantic,1.0,0.0,0.0,$25000 or more,middle atlantic,once a month,iap,4.0,1,0.0,0,1,0,1.0,0.0,0.0,2
41,1994,working fulltime,64.0,no,iap,18.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,every week,iap,3.0,0,1.0,0,1,0,0.0,0.0,0.0,1
42,1994,"unempl, laid off",47.0,no,iap,17.0,foreign,1.0,0.0,0.0,$25000 or more,middle atlantic,never,iap,2.0,0,0.0,0,1,0,0.0,0.0,0.0,1
43,1994,retired,60.0,no,iap,12.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,never,iap,2.9040189927081568,0,0.0,0,1,0,0.0,0.0,0.0,1
44,1994,temp not working,28.0,no,iap,13.0,foreign,0.0,0.0,0.0,$25000 or more,middle atlantic,never,iap,2.9040189927081568,0,0.0,0,1,0,0.0,0.0,0.0,0
45,1994,working fulltime,25.0,no,iap,14.0,middle atlantic,0.0,0.0,0.0,$15000 - 19999,middle atlantic,sevrl times a yr,iap,2.0,1,1.0,0,1,0,1.0,0.0,1.0,2
46,1994,keeping house,29.0,no,iap,12.0,foreign,1.0,1.0,0.0,$25000 or more,middle atlantic,sevrl times a yr,iap,3.0,0,1.0,1,1,1,1.0,0.0,0.0,0
47,1994,school,29.0,no,iap,18.0,foreign,0.0,0.0,0.0,$3000 to 3999,middle atlantic,once a year,iap,2.0,0,0.0,1,0,0,0.0,0.0,0.0,0
48,1994,keeping house,29.0,no,iap,11.0,middle atlantic,2.0,1.0,0.0,$15000 - 19999,middle atlantic,sevrl times a yr,iap,2.0,0,0.0,1,1,1,1.0,0.0,0.0,1
49,1994,keeping house,52.0,no,iap,12.0,south atlantic,0.0,0.0,0.0,$1000 to 2999,middle atlantic,once a year,iap,2.9040189927081568,0,0.0,1,1,1,0.0,0.0,1.0,0
50,1994,keeping house,46.0,no,iap,12.0,south atlantic,0.0,0.0,1.0,$10000 - 14999,middle atlantic,sevrl times a yr,iap,2.9040189927081568,0,1.0,1,1,1,1.0,0.0,0.0,1
51,1994,working fulltime,42.0,no,iap,15.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,every week,iap,2.0,0,1.0,1,0,0,0.0,0.0,0.0,1
52,1994,retired,50.0,no,iap,12.0,south atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,2-3x a month,iap,3.0,0,1.0,1,0,0,1.0,0.0,0.0,0
53,1994,keeping house,33.0,no,iap,14.0,middle atlantic,0.0,2.0,0.0,$25000 or more,middle atlantic,every week,iap,2.0,0,1.0,0,1,0,0.0,0.0,0.0,1
54,1994,working fulltime,51.0,no,iap,13.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,2-3x a month,iap,6.0,0,1.0,0,1,0,1.0,0.0,0.0,1
55,1994,working fulltime,31.0,no,iap,16.0,middle atlantic,0.0,0.0,2.0,$25000 or more,middle atlantic,once a year,iap,2.9040189927081568,1,1.0,0,0,0,0.0,0.0,0.0,2
56,1994,working fulltime,30.0,yes,iap,13.0,foreign,0.0,0.0,1.0,$25000 or more,middle atlantic,every week,iap,2.0,1,1.0,0,0,0,0.0,0.0,1.0,2
57,1994,working fulltime,45.0,yes,iap,13.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,lt once a year,iap,4.0,0,1.0,0,0,0,0.0,0.0,1.0,1
58,1994,working fulltime,64.0,yes,iap,19.0,middle atlantic,1.0,1.0,1.0,$25000 or more,middle atlantic,once a year,iap,1.0,1,0.0,0,1,0,0.0,0.0,0.0,2
59,1994,working fulltime,22.0,no,iap,9.0,foreign,0.0,0.0,1.0,$25000 or more,middle atlantic,never,iap,5.0,0,1.0,0,0,0,0.0,0.0,1.0,1
60,1994,working fulltime,17.0,no,iap,12.0,foreign,0.0,0.0,0.0,$25000 or more,middle atlantic,nrly every week,iap,1.0,0,0.0,0,0,0,0.0,1.0,1.0,1
61,1994,keeping house,43.87754099367439,no,iap,16.0,south atlantic,1.0,0.0,3.0,$25000 or more,middle atlantic,never,iap,2.9040189927081568,0,1.0,1,1,1,0.0,0.0,0.0,1
62,1994,working fulltime,41.0,yes,iap,12.0,south atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,once a year,iap,3.0,0,0.0,1,1,1,0.0,0.0,1.0,1
63,1994,retired,40.0,no,iap,11.0,south atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,more thn once wk,iap,2.9040189927081568,0,1.0,1,0,0,0.0,1.0,0.0,1
64,1994,school,43.87754099367439,no,iap,15.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,once a year,iap,2.9040189927081568,1,0.0,1,0,0,0.0,0.0,0.0,2
65,1994,working fulltime,40.0,yes,iap,12.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,lt once a year,iap,2.0,0,1.0,1,0,0,0.0,0.0,1.0,1
66,1994,working fulltime,42.0,no,iap,12.0,foreign,0.0,0.0,0.0,$25000 or more,middle atlantic,every week,iap,2.0,1,1.0,1,1,1,0.0,0.0,0.0,2
67,1994,working fulltime,74.0,no,iap,16.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,2-3x a month,iap,2.0,1,0.0,1,1,1,1.0,0.0,1.0,2
68,1994,working parttime,40.0,no,iap,16.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,once a year,iap,3.0,0,1.0,1,1,1,0.0,0.0,1.0,0
69,1994,other,37.0,yes,iap,10.0,middle atlantic,2.0,1.0,0.0,$15000 - 19999,middle atlantic,once a month,iap,5.0,0,1.0,0,0,0,1.0,0.0,0.0,1
70,1994,keeping house,43.87754099367439,no,iap,10.0,middle atlantic,2.0,0.0,0.0,$6000 to 6999,middle atlantic,never,iap,2.9040189927081568,0,0.0,0,1,0,0.0,0.0,0.0,1
71,1994,keeping house,31.0,no,iap,12.0,middle atlantic,0.0,2.0,0.0,$8000 to 9999,middle atlantic,once a month,iap,2.9040189927081568,0,1.0,0,1,0,1.0,0.0,0.0,1
72,1994,working fulltime,21.0,no,iap,8.0,foreign,0.0,1.0,1.0,$10000 - 14999,middle atlantic,sevrl times a yr,iap,2.9040189927081568,1,1.0,0,0,0,1.0,0.0,0.0,2
73,1994,keeping house,43.87754099367439,no,iap,12.0,middle atlantic,1.0,0.0,0.0,$5000 to 5999,middle atlantic,nrly every week,iap,6.0,0,1.0,1,1,1,0.0,1.0,1.0,1
74,1994,working parttime,36.0,no,iap,12.0,middle atlantic,0.0,0.0,2.0,$8000 to 9999,middle atlantic,never,iap,4.0,0,1.0,1,1,1,0.0,0.0,0.0,1
75,1994,working parttime,17.0,no,iap,12.0,middle atlantic,0.0,2.0,2.0,$5000 to 5999,middle atlantic,2-3x a month,iap,2.9040189927081568,0,0.0,1,1,1,1.0,0.0,0.0,1
76,1994,retired,49.0,no,iap,8.0,foreign,0.0,0.0,0.0,$25000 or more,middle atlantic,lt once a year,iap,2.9040189927081568,0,1.0,0,0,0,0.0,0.0,0.0,0
77,1994,working fulltime,61.0,yes,iap,16.0,w. nor. central,1.0,0.0,0.0,$25000 or more,new england,every week,yes,1.0,1,0.0,0,0,0,0.0,0.0,1.0,2
78,1994,working fulltime,75.0,no,iap,19.0,south atlantic,0.0,2.0,0.0,$25000 or more,new england,sevrl times a yr,iap,2.0,0,0.0,0,0,0,1.0,0.0,1.0,1
79,1994,retired,50.0,no,iap,16.0,e. nor. central,0.0,0.0,0.0,$25000 or more,new england,every week,iap,1.0,1,0.0,0,0,0,0.0,0.0,0.0,2
80,1994,working fulltime,86.0,no,iap,20.0,middle atlantic,0.0,0.0,0.0,$25000 or more,new england,once a year,yes,0.0,0,0.0,0,1,0,0.0,0.0,1.0,1
81,1994,working parttime,23.0,no,iap,16.0,new england,0.0,0.0,0.0,$8000 to 9999,new england,every week,iap,1.0,0,1.0,0,1,0,0.0,0.0,1.0,1
82,1994,retired,47.0,no,iap,16.0,middle atlantic,0.0,0.0,0.0,$15000 - 19999,new england,every week,iap,2.0,1,0.0,0,0,0,0.0,0.0,0.0,2
83,1994,working fulltime,65.0,no,iap,16.0,new england,0.0,0.0,0.0,$25000 or more,middle atlantic,never,iap,2.9040189927081568,1,1.0,0,0,0,0.0,0.0,1.0,2
84,1994,working fulltime,32.0,no,iap,16.0,middle atlantic,2.0,0.0,0.0,$25000 or more,middle atlantic,sevrl times a yr,iap,2.0,0,1.0,0,0,0,1.0,0.0,0.0,1
85,1994,temp not working,66.0,no,iap,12.0,w. sou. central,0.0,0.0,0.0,$25000 or more,middle atlantic,every week,iap,2.9040189927081568,0,1.0,1,1,1,0.0,0.0,1.0,1
86,1994,keeping house,48.0,no,iap,13.0,middle atlantic,2.0,1.0,0.0,$25000 or more,middle atlantic,sevrl times a yr,iap,2.9040189927081568,1,0.0,0,1,0,1.0,0.0,0.0,2
87,1994,retired,53.0,no,iap,12.0,pacific,0.0,0.0,0.0,$25000 or more,middle atlantic,every week,iap,1.0,1,1.0,0,0,0,0.0,0.0,0.0,2
88,1994,working parttime,23.0,yes,iap,7.0,foreign,1.0,0.0,0.0,$25000 or more,middle atlantic,once a month,iap,2.0,1,1.0,0,1,0,1.0,0.0,0.0,2
89,1994,keeping house,23.0,no,iap,8.0,foreign,0.0,0.0,0.0,$25000 or more,middle atlantic,every week,iap,2.9040189927081568,0,0.0,0,1,0,0.0,0.0,0.0,1
90,1994,keeping house,46.0,no,iap,12.0,middle atlantic,1.0,1.0,0.0,$25000 or more,middle atlantic,once a year,iap,2.9040189927081568,1,1.0,0,1,0,0.0,0.0,1.0,2
91,1994,retired,42.0,no,iap,8.0,middle atlantic,0.0,0.0,0.0,$10000 - 14999,middle atlantic,lt once a year,iap,2.9040189927081568,0,0.0,0,1,0,0.0,0.0,0.0,0
92,1994,working fulltime,51.0,no,iap,14.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,lt once a year,iap,2.9040189927081568,1,1.0,0,0,0,0.0,0.0,0.0,2
93,1994,working fulltime,64.0,yes,iap,20.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,once a month,iap,1.0,0,1.0,0,1,0,1.0,0.0,1.0,1
94,1994,working fulltime,64.0,yes,iap,20.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,lt once a year,iap,1.0,0,1.0,0,1,0,0.0,0.0,0.0,1
95,1994,working fulltime,73.0,no,iap,20.0,foreign,1.0,1.0,0.0,$25000 or more,middle atlantic,every week,iap,3.0,0,1.0,0,0,0,0.0,0.0,0.0,1
96,1994,keeping house,34.0,no,iap,12.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,sevrl times a yr,iap,3.0,0,1.0,0,1,0,1.0,0.0,0.0,1
97,1994,working fulltime,51.0,no,iap,12.0,middle atlantic,0.0,1.0,0.0,$25000 or more,middle atlantic,nrly every week,iap,4.0,0,1.0,0,1,0,0.0,1.0,0.0,1
98,1994,keeping house,47.0,no,iap,12.0,middle atlantic,1.0,2.0,0.0,$15000 - 19999,middle atlantic,sevrl times a yr,iap,4.0,0,0.0,0,1,0,1.0,0.0,1.0,1
99,1994,keeping house,47.0,no,iap,12.0,south atlantic,0.0,0.0,1.0,$15000 - 19999,middle atlantic,nrly every week,iap,2.9040189927081568,0,1.0,1,1,1,0.0,1.0,1.0,1
100,1994,working fulltime,52.0,no,iap,16.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,2-3x a month,iap,2.9040189927081568,0,0.0,1,1,1,1.0,0.0,0.0,1
101,1994,working fulltime,52.0,no,iap,14.0,middle atlantic,0.0,0.0,0.0,$15000 - 19999,middle atlantic,every week,iap,2.9040189927081568,0,0.0,1,1,1,0.0,0.0,0.0,1
102,1994,keeping house,42.0,no,iap,12.0,south atlantic,2.0,2.0,1.0,$25000 or more,middle atlantic,2-3x a month,iap,1.0,1,1.0,1,1,1,1.0,0.0,0.0,2
103,1994,working fulltime,65.0,yes,iap,12.0,middle atlantic,0.0,1.0,0.0,$25000 or more,middle atlantic,more thn once wk,iap,3.0,1,1.0,1,1,1,0.0,1.0,1.0,2
104,1994,working fulltime,44.0,no,iap,15.0,middle atlantic,0.0,0.0,1.0,$25000 or more,middle atlantic,sevrl times a yr,iap,2.9040189927081568,0,1.0,1,1,1,1.0,0.0,1.0,0
105,1994,keeping house,43.87754099367439,no,iap,11.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,every week,iap,2.0,0,1.0,0,1,0,0.0,0.0,0.0,0
106,1994,working fulltime,46.0,no,iap,13.0,middle atlantic,0.0,2.0,0.0,$25000 or more,middle atlantic,every week,iap,2.9040189927081568,0,1.0,1,1,1,0.0,0.0,0.0,1
107,1994,temp not working,24.0,no,iap,12.0,south atlantic,1.0,1.0,2.0,$25000 or more,middle atlantic,2-3x a month,iap,5.0,0,0.0,1,1,1,1.0,0.0,0.0,1
108,1994,temp not working,32.0,no,iap,12.0,middle atlantic,0.0,0.0,0.0,$20000 - 24999,middle atlantic,once a year,iap,6.0,0,0.0,1,1,1,0.0,0.0,1.0,1
109,1994,school,66.0,no,iap,16.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,lt once a year,iap,6.0,0,1.0,0,1,0,0.0,0.0,0.0,1
110,1994,school,47.0,no,iap,14.0,middle atlantic,0.0,0.0,0.0,$4000 to 4999,middle atlantic,never,iap,0.0,1,1.0,0,0,0,0.0,0.0,0.0,2
111,1994,retired,74.0,no,iap,20.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,never,iap,1.0,0,1.0,0,0,0,0.0,0.0,0.0,1
112,1994,working fulltime,49.0,no,iap,10.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,never,iap,2.9040189927081568,1,1.0,0,0,0,0.0,0.0,1.0,2
113,1994,working fulltime,51.0,no,iap,16.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,never,iap,3.0,0,1.0,1,0,0,0.0,0.0,1.0,1
114,1994,working fulltime,86.0,no,iap,20.0,middle atlantic,0.0,0.0,0.0,$20000 - 24999,middle atlantic,once a year,iap,0.0,0,0.0,0,0,0,0.0,0.0,1.0,1
115,1994,working fulltime,22.0,yes,iap,8.0,middle atlantic,0.0,0.0,0.0,$15000 - 19999,middle atlantic,lt once a year,iap,2.9040189927081568,1,0.0,0,0,0,0.0,0.0,0.0,2
116,1994,working fulltime,27.0,no,iap,8.0,middle atlantic,0.0,0.0,0.0,$20000 - 24999,middle atlantic,lt once a year,yes,8.0,1,0.0,0,0,0,0.0,0.0,1.0,2
117,1994,working fulltime,51.0,no,iap,18.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,every week,iap,2.0,0,0.0,0,0,0,0.0,0.0,1.0,1
118,1994,keeping house,43.87754099367439,no,iap,12.0,middle atlantic,0.0,2.0,0.0,$20000 - 24999,middle atlantic,every week,iap,2.9040189927081568,0,1.0,0,1,0,0.0,0.0,0.0,0
119,1994,working fulltime,40.0,yes,iap,10.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,never,iap,2.0,0,1.0,0,0,0,0.0,0.0,1.0,1
120,1994,working fulltime,46.0,no,iap,12.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,once a year,yes,3.0,1,1.0,0,0,0,0.0,0.0,1.0,2
121,1994,"unempl, laid off",43.0,no,iap,15.0,middle atlantic,0.0,0.0,0.0,$15000 - 19999,middle atlantic,never,iap,2.9040189927081568,0,1.0,0,1,0,0.0,0.0,1.0,1
122,1994,working fulltime,64.0,yes,iap,20.0,foreign,0.0,1.0,0.0,$25000 or more,middle atlantic,never,iap,1.0,0,1.0,0,0,0,0.0,0.0,0.0,0
123,1994,working fulltime,48.0,no,iap,16.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,once a month,iap,2.0,1,0.0,0,1,0,1.0,0.0,0.0,2
124,1994,working fulltime,44.0,no,iap,14.0,middle atlantic,0.0,1.0,0.0,$25000 or more,middle atlantic,sevrl times a yr,iap,2.9040189927081568,0,1.0,0,0,0,1.0,0.0,0.0,1
125,1994,working fulltime,49.0,no,iap,14.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,every week,iap,2.0,0,1.0,0,0,0,0.0,0.0,1.0,1
126,1994,working fulltime,44.0,no,iap,13.0,middle atlantic,1.0,1.0,1.0,$25000 or more,middle atlantic,never,iap,2.0,1,1.0,0,0,0,0.0,0.0,0.0,2
127,1994,working parttime,33.0,yes,iap,12.0,middle atlantic,1.0,3.0,0.0,$25000 or more,middle atlantic,nrly every week,iap,2.9040189927081568,1,1.0,0,0,0,0.0,1.0,0.0,2
128,1994,working fulltime,42.0,no,iap,12.0,middle atlantic,0.0,2.0,0.0,$25000 or more,middle atlantic,sevrl times a yr,iap,2.0,1,0.0,0,1,0,1.0,0.0,1.0,2
129,1994,working fulltime,41.0,no,iap,13.0,middle atlantic,0.0,0.0,2.0,$25000 or more,middle atlantic,more thn once wk,iap,2.9040189927081568,0,0.0,1,1,1,0.0,1.0,1.0,1
130,1994,retired,30.0,no,iap,5.0,foreign,0.0,1.0,0.0,$25000 or more,middle atlantic,lt once a year,iap,5.0,0,0.0,1,0,0,0.0,0.0,0.0,1
131,1994,working fulltime,68.0,no,iap,14.0,foreign,0.0,1.0,0.0,$25000 or more,middle atlantic,2-3x a month,iap,3.0,1,1.0,1,0,0,1.0,0.0,1.0,2
132,1994,working fulltime,30.0,no,iap,12.0,foreign,0.0,0.0,1.0,$25000 or more,middle atlantic,sevrl times a yr,iap,2.9040189927081568,0,0.0,0,0,0,1.0,0.0,1.0,1
133,1994,working parttime,42.0,no,iap,9.0,middle atlantic,0.0,0.0,0.0,$8000 to 9999,middle atlantic,nrly every week,iap,2.9040189927081568,0,0.0,1,1,1,0.0,1.0,1.0,0
134,1994,working fulltime,40.0,no,iap,13.0,middle atlantic,0.0,0.0,0.0,$10000 - 14999,middle atlantic,once a year,iap,4.0,0,0.0,1,1,1,0.0,0.0,1.0,1
135,1994,working fulltime,35.0,no,iap,14.0,south atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,every week,iap,3.0,0,0.0,1,0,0,0.0,0.0,1.0,1
136,1994,working fulltime,33.0,no,iap,11.0,middle atlantic,1.0,1.0,0.0,$15000 - 19999,middle atlantic,sevrl times a yr,iap,2.9040189927081568,0,0.0,0,1,0,1.0,0.0,1.0,0
137,1994,working fulltime,47.0,no,iap,11.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,once a year,iap,2.0,0,1.0,0,0,0,0.0,0.0,1.0,1
138,1994,working fulltime,75.0,no,iap,16.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,sevrl times a yr,iap,2.9040189927081568,1,1.0,0,0,0,1.0,0.0,0.0,2
139,1994,retired,66.0,no,iap,17.0,e. nor. central,0.0,0.0,0.0,$25000 or more,middle atlantic,every week,iap,3.0,0,1.0,1,1,1,0.0,0.0,0.0,1
140,1994,"unempl, laid off",33.0,no,iap,12.0,middle atlantic,0.0,1.0,1.0,$25000 or more,middle atlantic,once a month,iap,6.0,1,0.0,1,1,1,1.0,0.0,1.0,2
141,1994,temp not working,40.0,no,iap,12.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,never,iap,1.0,0,1.0,0,1,0,0.0,0.0,0.0,1
142,1994,working fulltime,40.0,no,iap,16.0,middle atlantic,0.0,1.0,1.0,$25000 or more,middle atlantic,sevrl times a yr,yes,2.9040189927081568,0,0.0,1,0,0,1.0,0.0,0.0,1
143,1994,working fulltime,38.0,no,iap,12.0,middle atlantic,1.0,0.0,0.0,$25000 or more,middle atlantic,2-3x a month,yes,2.9040189927081568,0,1.0,1,0,0,1.0,0.0,0.0,1
